line_idx,sent_id,para_id,sent_idx,target_type,target_word,target_word_idx
34,squad_v2_56e8f8fa99e8941900975f48_s2,squad_v2_56e8f8fa99e8941900975f48,2,word,carries,5
35,squad_v2_56e8f8fa99e8941900975f48_s2,squad_v2_56e8f8fa99e8941900975f48,2,word,the,6
36,squad_v2_56e8f8fa99e8941900975f48_s2,squad_v2_56e8f8fa99e8941900975f48,2,word,vaulted,7
37,squad_v2_56e8f8fa99e8941900975f48_s2,squad_v2_56e8f8fa99e8941900975f48,2,word,ceiling,8
38,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,To,0
39,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,the,1
40,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,sides,2
41,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,are,3
42,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,blind,4
43,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,arcading,5
44,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,remains,6
45,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,of,7
46,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,14th-century,8
47,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,paintings,9
48,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,and,10
49,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,numerous,11
50,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,stone,12
51,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,benches,13
52,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,above,14
53,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,which,15
54,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,are,16
55,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,innovatory,17
56,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,large,18
57,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,4-light,19
58,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,quatre-foiled,20
59,squad_v2_56e8f8fa99e8941900975f48_s3,squad_v2_56e8f8fa99e8941900975f48,3,word,windows,21
60,squad_v2_56e8f8fa99e8941900975f48_s4,squad_v2_56e8f8fa99e8941900975f48,4,word,These,0
61,squad_v2_56e8f8fa99e8941900975f48_s4,squad_v2_56e8f8fa99e8941900975f48,4,word,are,1
62,squad_v2_56e8f8fa99e8941900975f48_s4,squad_v2_56e8f8fa99e8941900975f48,4,word,virtually,2
63,squad_v2_56e8f8fa99e8941900975f48_s4,squad_v2_56e8f8fa99e8941900975f48,4,word,contemporary,3
64,squad_v2_56e8f8fa99e8941900975f48_s4,squad_v2_56e8f8fa99e8941900975f48,4,word,with,4
65,squad_v2_56e8f8fa99e8941900975f48_s4,squad_v2_56e8f8fa99e8941900975f48,4,word,the,5
66,squad_v2_56e8f8fa99e8941900975f48_s4,squad_v2_56e8f8fa99e8941900975f48,4,word,Sainte-Chapelle,6
67,squad_v2_56e8f8fa99e8941900975f48_s4,squad_v2_56e8f8fa99e8941900975f48,4,word,Paris,7
