line_idx,sent_id,para_id,sent_idx,target_type,target_word,target_word_idx
54,squad_v2_572b8309f75d5e190021fe1b_s2,squad_v2_572b8309f75d5e190021fe1b,2,word,oxide,12
55,squad_v2_572b8309f75d5e190021fe1b_s2,squad_v2_572b8309f75d5e190021fe1b,2,word,and,13
56,squad_v2_572b8309f75d5e190021fe1b_s2,squad_v2_572b8309f75d5e190021fe1b,2,word,zinc,14
57,squad_v2_572b8309f75d5e190021fe1b_s2,squad_v2_572b8309f75d5e190021fe1b,2,word,carbonate,15
58,squad_v2_572b8309f75d5e190021fe1b_s2,squad_v2_572b8309f75d5e190021fe1b,2,word,were,16
59,squad_v2_572b8309f75d5e190021fe1b_s2,squad_v2_572b8309f75d5e190021fe1b,2,word,consumed,17
60,squad_v2_572b8309f75d5e190021fe1b_s2,squad_v2_572b8309f75d5e190021fe1b,2,word,compared,18
61,squad_v2_572b8309f75d5e190021fe1b_s2,squad_v2_572b8309f75d5e190021fe1b,2,word,with,19
62,squad_v2_572b8309f75d5e190021fe1b_s2,squad_v2_572b8309f75d5e190021fe1b,2,word,those,20
63,squad_v2_572b8309f75d5e190021fe1b_s2,squad_v2_572b8309f75d5e190021fe1b,2,word,seen,21
64,squad_v2_572b8309f75d5e190021fe1b_s2,squad_v2_572b8309f75d5e190021fe1b,2,word,after,22
65,squad_v2_572b8309f75d5e190021fe1b_s2,squad_v2_572b8309f75d5e190021fe1b,2,word,consumption,23
66,squad_v2_572b8309f75d5e190021fe1b_s2,squad_v2_572b8309f75d5e190021fe1b,2,word,of,24
67,squad_v2_572b8309f75d5e190021fe1b_s2,squad_v2_572b8309f75d5e190021fe1b,2,word,zinc,25
68,squad_v2_572b8309f75d5e190021fe1b_s2,squad_v2_572b8309f75d5e190021fe1b,2,word,acetate,26
69,squad_v2_572b8309f75d5e190021fe1b_s2,squad_v2_572b8309f75d5e190021fe1b,2,word,and,27
70,squad_v2_572b8309f75d5e190021fe1b_s2,squad_v2_572b8309f75d5e190021fe1b,2,word,sulfate,28
71,squad_v2_572b8309f75d5e190021fe1b_s2,squad_v2_572b8309f75d5e190021fe1b,2,word,salts,29
72,squad_v2_572b8309f75d5e190021fe1b_s3,squad_v2_572b8309f75d5e190021fe1b,3,word,However,0
73,squad_v2_572b8309f75d5e190021fe1b_s3,squad_v2_572b8309f75d5e190021fe1b,3,word,harmful,1
74,squad_v2_572b8309f75d5e190021fe1b_s3,squad_v2_572b8309f75d5e190021fe1b,3,word,excessive,2
75,squad_v2_572b8309f75d5e190021fe1b_s3,squad_v2_572b8309f75d5e190021fe1b,3,word,supplementation,3
76,squad_v2_572b8309f75d5e190021fe1b_s3,squad_v2_572b8309f75d5e190021fe1b,3,word,is,4
77,squad_v2_572b8309f75d5e190021fe1b_s3,squad_v2_572b8309f75d5e190021fe1b,3,word,a,5
78,squad_v2_572b8309f75d5e190021fe1b_s3,squad_v2_572b8309f75d5e190021fe1b,3,word,problem,6
79,squad_v2_572b8309f75d5e190021fe1b_s3,squad_v2_572b8309f75d5e190021fe1b,3,word,among,7
80,squad_v2_572b8309f75d5e190021fe1b_s3,squad_v2_572b8309f75d5e190021fe1b,3,word,the,8
81,squad_v2_572b8309f75d5e190021fe1b_s3,squad_v2_572b8309f75d5e190021fe1b,3,word,relatively,9
82,squad_v2_572b8309f75d5e190021fe1b_s3,squad_v2_572b8309f75d5e190021fe1b,3,word,affluent,10
83,squad_v2_572b8309f75d5e190021fe1b_s3,squad_v2_572b8309f75d5e190021fe1b,3,word,and,11
84,squad_v2_572b8309f75d5e190021fe1b_s3,squad_v2_572b8309f75d5e190021fe1b,3,word,should,12
85,squad_v2_572b8309f75d5e190021fe1b_s3,squad_v2_572b8309f75d5e190021fe1b,3,word,probably,13
86,squad_v2_572b8309f75d5e190021fe1b_s3,squad_v2_572b8309f75d5e190021fe1b,3,word,not,14
87,squad_v2_572b8309f75d5e190021fe1b_s3,squad_v2_572b8309f75d5e190021fe1b,3,word,exceed,15
88,squad_v2_572b8309f75d5e190021fe1b_s3,squad_v2_572b8309f75d5e190021fe1b,3,word,20,16
89,squad_v2_572b8309f75d5e190021fe1b_s3,squad_v2_572b8309f75d5e190021fe1b,3,word,mg,17
90,squad_v2_572b8309f75d5e190021fe1b_s3,squad_v2_572b8309f75d5e190021fe1b,3,word,day,18
91,squad_v2_572b8309f75d5e190021fe1b_s3,squad_v2_572b8309f75d5e190021fe1b,3,word,in,19
92,squad_v2_572b8309f75d5e190021fe1b_s3,squad_v2_572b8309f75d5e190021fe1b,3,word,healthy,20
93,squad_v2_572b8309f75d5e190021fe1b_s3,squad_v2_572b8309f75d5e190021fe1b,3,word,people,21
94,squad_v2_572b8309f75d5e190021fe1b_s3,squad_v2_572b8309f75d5e190021fe1b,3,word,although,22
95,squad_v2_572b8309f75d5e190021fe1b_s3,squad_v2_572b8309f75d5e190021fe1b,3,word,the,23
96,squad_v2_572b8309f75d5e190021fe1b_s3,squad_v2_572b8309f75d5e190021fe1b,3,word,U,24
97,squad_v2_572b8309f75d5e190021fe1b_s4,squad_v2_572b8309f75d5e190021fe1b,4,word,S,0
98,squad_v2_572b8309f75d5e190021fe1b_s5,squad_v2_572b8309f75d5e190021fe1b,5,word,National,0
99,squad_v2_572b8309f75d5e190021fe1b_s5,squad_v2_572b8309f75d5e190021fe1b,5,word,Research,1
100,squad_v2_572b8309f75d5e190021fe1b_s5,squad_v2_572b8309f75d5e190021fe1b,5,word,Council,2
101,squad_v2_572b8309f75d5e190021fe1b_s5,squad_v2_572b8309f75d5e190021fe1b,5,word,set,3
102,squad_v2_572b8309f75d5e190021fe1b_s5,squad_v2_572b8309f75d5e190021fe1b,5,word,a,4
103,squad_v2_572b8309f75d5e190021fe1b_s5,squad_v2_572b8309f75d5e190021fe1b,5,word,Tolerable,5
104,squad_v2_572b8309f75d5e190021fe1b_s5,squad_v2_572b8309f75d5e190021fe1b,5,word,Upper,6
105,squad_v2_572b8309f75d5e190021fe1b_s5,squad_v2_572b8309f75d5e190021fe1b,5,word,Intake,7
106,squad_v2_572b8309f75d5e190021fe1b_s5,squad_v2_572b8309f75d5e190021fe1b,5,word,of,8
107,squad_v2_572b8309f75d5e190021fe1b_s5,squad_v2_572b8309f75d5e190021fe1b,5,word,40,9
108,squad_v2_572b8309f75d5e190021fe1b_s5,squad_v2_572b8309f75d5e190021fe1b,5,word,mg,10
109,squad_v2_572b8309f75d5e190021fe1b_s5,squad_v2_572b8309f75d5e190021fe1b,5,word,day,11
110,squad_v2_56f6e8fb3d8e2e1400e372b7_s0,squad_v2_56f6e8fb3d8e2e1400e372b7,0,word,Slavs,0
111,squad_v2_56f6e8fb3d8e2e1400e372b7_s0,squad_v2_56f6e8fb3d8e2e1400e372b7,0,word,are,1
112,squad_v2_56f6e8fb3d8e2e1400e372b7_s0,squad_v2_56f6e8fb3d8e2e1400e372b7,0,word,the,2
113,squad_v2_56f6e8fb3d8e2e1400e372b7_s0,squad_v2_56f6e8fb3d8e2e1400e372b7,0,word,largest,3
114,squad_v2_56f6e8fb3d8e2e1400e372b7_s0,squad_v2_56f6e8fb3d8e2e1400e372b7,0,word,Indo-European,4
115,squad_v2_56f6e8fb3d8e2e1400e372b7_s0,squad_v2_56f6e8fb3d8e2e1400e372b7,0,word,ethno-linguistic,5
116,squad_v2_56f6e8fb3d8e2e1400e372b7_s0,squad_v2_56f6e8fb3d8e2e1400e372b7,0,word,group,6
117,squad_v2_56f6e8fb3d8e2e1400e372b7_s0,squad_v2_56f6e8fb3d8e2e1400e372b7,0,word,in,7
118,squad_v2_56f6e8fb3d8e2e1400e372b7_s0,squad_v2_56f6e8fb3d8e2e1400e372b7,0,word,Europe,8
119,squad_v2_56f6e8fb3d8e2e1400e372b7_s1,squad_v2_56f6e8fb3d8e2e1400e372b7,1,word,They,0
120,squad_v2_56f6e8fb3d8e2e1400e372b7_s1,squad_v2_56f6e8fb3d8e2e1400e372b7,1,word,inhabit,1
121,squad_v2_56f6e8fb3d8e2e1400e372b7_s1,squad_v2_56f6e8fb3d8e2e1400e372b7,1,word,Central,2
122,squad_v2_56f6e8fb3d8e2e1400e372b7_s1,squad_v2_56f6e8fb3d8e2e1400e372b7,1,word,Europe,3
123,squad_v2_56f6e8fb3d8e2e1400e372b7_s1,squad_v2_56f6e8fb3d8e2e1400e372b7,1,word,Eastern,4
124,squad_v2_56f6e8fb3d8e2e1400e372b7_s1,squad_v2_56f6e8fb3d8e2e1400e372b7,1,word,Europe,5
125,squad_v2_56f6e8fb3d8e2e1400e372b7_s1,squad_v2_56f6e8fb3d8e2e1400e372b7,1,word,Southeast,6
126,squad_v2_56f6e8fb3d8e2e1400e372b7_s1,squad_v2_56f6e8fb3d8e2e1400e372b7,1,word,Europe,7
127,squad_v2_56f6e8fb3d8e2e1400e372b7_s1,squad_v2_56f6e8fb3d8e2e1400e372b7,1,word,North,8
128,squad_v2_56f6e8fb3d8e2e1400e372b7_s1,squad_v2_56f6e8fb3d8e2e1400e372b7,1,word,Asia,9
129,squad_v2_56f6e8fb3d8e2e1400e372b7_s1,squad_v2_56f6e8fb3d8e2e1400e372b7,1,word,and,10
130,squad_v2_56f6e8fb3d8e2e1400e372b7_s1,squad_v2_56f6e8fb3d8e2e1400e372b7,1,word,Central,11
131,squad_v2_56f6e8fb3d8e2e1400e372b7_s1,squad_v2_56f6e8fb3d8e2e1400e372b7,1,word,Asia,12
132,squad_v2_56f6e8fb3d8e2e1400e372b7_s2,squad_v2_56f6e8fb3d8e2e1400e372b7,2,word,Slavs,0
133,squad_v2_56f6e8fb3d8e2e1400e372b7_s2,squad_v2_56f6e8fb3d8e2e1400e372b7,2,word,speak,1
134,squad_v2_56f6e8fb3d8e2e1400e372b7_s2,squad_v2_56f6e8fb3d8e2e1400e372b7,2,word,Indo-European,2
135,squad_v2_56f6e8fb3d8e2e1400e372b7_s2,squad_v2_56f6e8fb3d8e2e1400e372b7,2,word,Slavic,3
136,squad_v2_56f6e8fb3d8e2e1400e372b7_s2,squad_v2_56f6e8fb3d8e2e1400e372b7,2,word,languages,4
137,squad_v2_56f6e8fb3d8e2e1400e372b7_s2,squad_v2_56f6e8fb3d8e2e1400e372b7,2,word,and,5
138,squad_v2_56f6e8fb3d8e2e1400e372b7_s2,squad_v2_56f6e8fb3d8e2e1400e372b7,2,word,share,6
139,squad_v2_56f6e8fb3d8e2e1400e372b7_s2,squad_v2_56f6e8fb3d8e2e1400e372b7,2,word,to,7
140,squad_v2_56f6e8fb3d8e2e1400e372b7_s2,squad_v2_56f6e8fb3d8e2e1400e372b7,2,word,varying,8
141,squad_v2_56f6e8fb3d8e2e1400e372b7_s2,squad_v2_56f6e8fb3d8e2e1400e372b7,2,word,degrees,9
142,squad_v2_56f6e8fb3d8e2e1400e372b7_s2,squad_v2_56f6e8fb3d8e2e1400e372b7,2,word,some,10
143,squad_v2_56f6e8fb3d8e2e1400e372b7_s2,squad_v2_56f6e8fb3d8e2e1400e372b7,2,word,cultural,11
144,squad_v2_56f6e8fb3d8e2e1400e372b7_s2,squad_v2_56f6e8fb3d8e2e1400e372b7,2,word,traits,12
145,squad_v2_56f6e8fb3d8e2e1400e372b7_s2,squad_v2_56f6e8fb3d8e2e1400e372b7,2,word,and,13
146,squad_v2_56f6e8fb3d8e2e1400e372b7_s2,squad_v2_56f6e8fb3d8e2e1400e372b7,2,word,historical,14
147,squad_v2_56f6e8fb3d8e2e1400e372b7_s2,squad_v2_56f6e8fb3d8e2e1400e372b7,2,word,backgrounds,15
148,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,From,0
149,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,the,1
150,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,early,2
151,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,6th,3
152,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,century,4
153,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,they,5
154,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,spread,6
155,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,to,7
156,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,inhabit,8
157,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,most,9
158,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,of,10
159,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,Central,11
160,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,and,12
161,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,Eastern,13
162,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,Europe,14
163,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,and,15
164,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,Southeast,16
165,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,Europe,17
166,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,whilst,18
167,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,Slavic,19
168,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,mercenaries,20
169,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,fighting,21
170,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,for,22
171,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,the,23
172,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,Byzantines,24
173,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,and,25
174,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,Arabs,26
175,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,settled,27
176,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,Asia,28
177,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,Minor,29
178,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,and,30
179,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,even,31
180,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,as,32
181,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,far,33
182,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,as,34
183,squad_v2_56f6e8fb3d8e2e1400e372b7_s3,squad_v2_56f6e8fb3d8e2e1400e372b7,3,word,Syria,35
184,squad_v2_56f6e8fb3d8e2e1400e372b7_s4,squad_v2_56f6e8fb3d8e2e1400e372b7,4,word,The,0
185,squad_v2_56f6e8fb3d8e2e1400e372b7_s4,squad_v2_56f6e8fb3d8e2e1400e372b7,4,word,East,1
186,squad_v2_56f6e8fb3d8e2e1400e372b7_s4,squad_v2_56f6e8fb3d8e2e1400e372b7,4,word,Slavs,2
187,squad_v2_56f6e8fb3d8e2e1400e372b7_s4,squad_v2_56f6e8fb3d8e2e1400e372b7,4,word,colonised,3
188,squad_v2_56f6e8fb3d8e2e1400e372b7_s4,squad_v2_56f6e8fb3d8e2e1400e372b7,4,word,Siberia,4
189,squad_v2_56f6e8fb3d8e2e1400e372b7_s4,squad_v2_56f6e8fb3d8e2e1400e372b7,4,word,and,5
190,squad_v2_56f6e8fb3d8e2e1400e372b7_s4,squad_v2_56f6e8fb3d8e2e1400e372b7,4,word,Central,6
191,squad_v2_56f6e8fb3d8e2e1400e372b7_s4,squad_v2_56f6e8fb3d8e2e1400e372b7,4,word,Asia,7
192,squad_v2_56f6e8fb3d8e2e1400e372b7_s5,squad_v2_56f6e8fb3d8e2e1400e372b7,5,word,better,0
193,squad_v2_56f6e8fb3d8e2e1400e372b7_s5,squad_v2_56f6e8fb3d8e2e1400e372b7,5,word,source,1
194,squad_v2_56f6e8fb3d8e2e1400e372b7_s5,squad_v2_56f6e8fb3d8e2e1400e372b7,5,word,needed,2
195,squad_v2_56f6e8fb3d8e2e1400e372b7_s5,squad_v2_56f6e8fb3d8e2e1400e372b7,5,word,Presently,3
196,squad_v2_56f6e8fb3d8e2e1400e372b7_s5,squad_v2_56f6e8fb3d8e2e1400e372b7,5,word,over,4
197,squad_v2_56f6e8fb3d8e2e1400e372b7_s5,squad_v2_56f6e8fb3d8e2e1400e372b7,5,word,half,5
198,squad_v2_56f6e8fb3d8e2e1400e372b7_s5,squad_v2_56f6e8fb3d8e2e1400e372b7,5,word,of,6
199,squad_v2_56f6e8fb3d8e2e1400e372b7_s5,squad_v2_56f6e8fb3d8e2e1400e372b7,5,word,Europe's,7
200,squad_v2_56f6e8fb3d8e2e1400e372b7_s5,squad_v2_56f6e8fb3d8e2e1400e372b7,5,word,territory,8
201,squad_v2_56f6e8fb3d8e2e1400e372b7_s5,squad_v2_56f6e8fb3d8e2e1400e372b7,5,word,is,9
202,squad_v2_56f6e8fb3d8e2e1400e372b7_s5,squad_v2_56f6e8fb3d8e2e1400e372b7,5,word,inhabited,10
203,squad_v2_56f6e8fb3d8e2e1400e372b7_s5,squad_v2_56f6e8fb3d8e2e1400e372b7,5,word,by,11
204,squad_v2_56f6e8fb3d8e2e1400e372b7_s5,squad_v2_56f6e8fb3d8e2e1400e372b7,5,word,Slavic-speaking,12
205,squad_v2_56f6e8fb3d8e2e1400e372b7_s5,squad_v2_56f6e8fb3d8e2e1400e372b7,5,word,communities,13
206,squad_v2_56f6e8fb3d8e2e1400e372b7_s5,squad_v2_56f6e8fb3d8e2e1400e372b7,5,word,but,14
207,squad_v2_56f6e8fb3d8e2e1400e372b7_s5,squad_v2_56f6e8fb3d8e2e1400e372b7,5,word,every,15
208,squad_v2_56f6e8fb3d8e2e1400e372b7_s5,squad_v2_56f6e8fb3d8e2e1400e372b7,5,word,Slavic,16
209,squad_v2_56f6e8fb3d8e2e1400e372b7_s5,squad_v2_56f6e8fb3d8e2e1400e372b7,5,word,ethnicity,17
210,squad_v2_56f6e8fb3d8e2e1400e372b7_s5,squad_v2_56f6e8fb3d8e2e1400e372b7,5,word,has,18
211,squad_v2_56f6e8fb3d8e2e1400e372b7_s5,squad_v2_56f6e8fb3d8e2e1400e372b7,5,word,emigrated,19
212,squad_v2_56f6e8fb3d8e2e1400e372b7_s5,squad_v2_56f6e8fb3d8e2e1400e372b7,5,word,to,20
213,squad_v2_56f6e8fb3d8e2e1400e372b7_s5,squad_v2_56f6e8fb3d8e2e1400e372b7,5,word,other,21
214,squad_v2_56f6e8fb3d8e2e1400e372b7_s5,squad_v2_56f6e8fb3d8e2e1400e372b7,5,word,continents,22
