sent_id,para_id,sent_idx,gold_salient,gold_rank_optional
squad_v2_572a60d8d562191400bc86a5_s3,squad_v2_572a60d8d562191400bc86a5,3,0,
squad_v2_572a6ceb7a1753140016af36_s0,squad_v2_572a6ceb7a1753140016af36,0,0,
squad_v2_572a6ceb7a1753140016af36_s1,squad_v2_572a6ceb7a1753140016af36,1,0,
squad_v2_572a6ceb7a1753140016af36_s2,squad_v2_572a6ceb7a1753140016af36,2,0,
squad_v2_572a6ceb7a1753140016af36_s3,squad_v2_572a6ceb7a1753140016af36,3,0,
squad_v2_572a6ceb7a1753140016af36_s4,squad_v2_572a6ceb7a1753140016af36,4,0,
squad_v2_572a6ceb7a1753140016af36_s5,squad_v2_572a6ceb7a1753140016af36,5,1,
squad_v2_572a6ceb7a1753140016af36_s6,squad_v2_572a6ceb7a1753140016af36,6,0,
squad_v2_572a6ceb7a1753140016af36_s7,squad_v2_572a6ceb7a1753140016af36,7,0,
squad_v2_572a6ceb7a1753140016af36_s8,squad_v2_572a6ceb7a1753140016af36,8,0,
squad_v2_572a6ceb7a1753140016af36_s9,squad_v2_572a6ceb7a1753140016af36,9,0,
squad_v2_5730a4e0069b5314008321f7_s0,squad_v2_5730a4e0069b5314008321f7,0,0,
squad_v2_5730a4e0069b5314008321f7_s1,squad_v2_5730a4e0069b5314008321f7,1,0,
squad_v2_5730a4e0069b5314008321f7_s2,squad_v2_5730a4e0069b5314008321f7,2,1,
squad_v2_5730a4e0069b5314008321f7_s3,squad_v2_5730a4e0069b5314008321f7,3,0,
squad_v2_5730a4e0069b5314008321f7_s4,squad_v2_5730a4e0069b5314008321f7,4,0,
squad_v2_5730a4e0069b5314008321f7_s5,squad_v2_5730a4e0069b5314008321f7,5,0,
squad_v2_5730a4e0069b5314008321f7_s6,squad_v2_5730a4e0069b5314008321f7,6,0,
squad_v2_5730a4e0069b5314008321f7_s7,squad_v2_5730a4e0069b5314008321f7,7,0,
squad_v2_5730a4e0069b5314008321f7_s8,squad_v2_5730a4e0069b5314008321f7,8,0,
squad_v2_57272081708984140094da2f_s0,squad_v2_57272081708984140094da2f,0,0,
squad_v2_57272081708984140094da2f_s1,squad_v2_57272081708984140094da2f,1,0,
squad_v2_57272081708984140094da2f_s2,squad_v2_57272081708984140094da2f,2,0,
squad_v2_57272081708984140094da2f_s3,squad_v2_57272081708984140094da2f,3,0,
squad_v2_57272081708984140094da2f_s4,squad_v2_57272081708984140094da2f,4,1,
squad_v2_56de98ddcffd8e1900b4ba1e_s0,squad_v2_56de98ddcffd8e1900b4ba1e,0,0,
squad_v2_56de98ddcffd8e1900b4ba1e_s1,squad_v2_56de98ddcffd8e1900b4ba1e,1,0,
squad_v2_56de98ddcffd8e1900b4ba1e_s2,squad_v2_56de98ddcffd8e1900b4ba1e,2,1,
squad_v2_56de98ddcffd8e1900b4ba1e_s3,squad_v2_56de98ddcffd8e1900b4ba1e,3,0,
squad_v2_57265d15dd62a815002e82bf_s0,squad_v2_57265d15dd62a815002e82bf,0,0,
squad_v2_57265d15dd62a815002e82bf_s1,squad_v2_57265d15dd62a815002e82bf,1,1,
squad_v2_57265d15dd62a815002e82bf_s2,squad_v2_57265d15dd62a815002e82bf,2,0,
squad_v2_57265d15dd62a815002e82bf_s3,squad_v2_57265d15dd62a815002e82bf,3,0,
squad_v2_57265d15dd62a815002e82bf_s4,squad_v2_57265d15dd62a815002e82bf,4,0,
squad_v2_56d104d117492d1400aab741_s0,squad_v2_56d104d117492d1400aab741,0,0,
squad_v2_56d104d117492d1400aab741_s1,squad_v2_56d104d117492d1400aab741,1,1,
squad_v2_56cf578daab44d1400b8908b_s0,squad_v2_56cf578daab44d1400b8908b,0,1,
squad_v2_56cf578daab44d1400b8908b_s1,squad_v2_56cf578daab44d1400b8908b,1,0,
squad_v2_56cf578daab44d1400b8908b_s2,squad_v2_56cf578daab44d1400b8908b,2,0,
squad_v2_56cf578daab44d1400b8908b_s3,squad_v2_56cf578daab44d1400b8908b,3,0,
squad_v2_56dede143277331400b4d77c_s0,squad_v2_56dede143277331400b4d77c,0,0,
squad_v2_56dede143277331400b4d77c_s1,squad_v2_56dede143277331400b4d77c,1,0,
squad_v2_56dede143277331400b4d77c_s2,squad_v2_56dede143277331400b4d77c,2,1,
squad_v2_56dede143277331400b4d77c_s3,squad_v2_56dede143277331400b4d77c,3,0,
squad_v2_56dede143277331400b4d77c_s4,squad_v2_56dede143277331400b4d77c,4,0,
squad_v2_56dede143277331400b4d77c_s5,squad_v2_56dede143277331400b4d77c,5,0,
squad_v2_56dede143277331400b4d77c_s6,squad_v2_56dede143277331400b4d77c,6,0,
squad_v2_56dede143277331400b4d77c_s7,squad_v2_56dede143277331400b4d77c,7,0,
squad_v2_56dede143277331400b4d77c_s8,squad_v2_56dede143277331400b4d77c,8,0,
squad_v2_56dede143277331400b4d77c_s9,squad_v2_56dede143277331400b4d77c,9,0,
squad_v2_56dede143277331400b4d77c_s10,squad_v2_56dede143277331400b4d77c,10,0,
squad_v2_57070e0c9e06ca38007e9342_s0,squad_v2_57070e0c9e06ca38007e9342,0,0,
squad_v2_57070e0c9e06ca38007e9342_s1,squad_v2_57070e0c9e06ca38007e9342,1,1,
squad_v2_57070e0c9e06ca38007e9342_s2,squad_v2_57070e0c9e06ca38007e9342,2,0,
squad_v2_57070e0c9e06ca38007e9342_s3,squad_v2_57070e0c9e06ca38007e9342,3,0,
squad_v2_57070e0c9e06ca38007e9342_s4,squad_v2_57070e0c9e06ca38007e9342,4,0,
squad_v2_57070e0c9e06ca38007e9342_s5,squad_v2_57070e0c9e06ca38007e9342,5,0,
squad_v2_5707070890286e26004fc807_s0,squad_v2_5707070890286e26004fc807,0,0,
squad_v2_5707070890286e26004fc807_s1,squad_v2_5707070890286e26004fc807,1,0,
squad_v2_5707070890286e26004fc807_s2,squad_v2_5707070890286e26004fc807,2,1,
squad_v2_5707070890286e26004fc807_s3,squad_v2_5707070890286e26004fc807,3,0,
squad_v2_56ce3569aab44d1400b885ae_s0,squad_v2_56ce3569aab44d1400b885ae,0,0,
squad_v2_56ce3569aab44d1400b885ae_s1,squad_v2_56ce3569aab44d1400b885ae,1,1,
squad_v2_56ce3569aab44d1400b885ae_s2,squad_v2_56ce3569aab44d1400b885ae,2,0,
squad_v2_56ce3569aab44d1400b885ae_s3,squad_v2_56ce3569aab44d1400b885ae,3,0,
squad_v2_56ce3569aab44d1400b885ae_s4,squad_v2_56ce3569aab44d1400b885ae,4,0,
squad_v2_57293d9e1d046914007791ce_s0,squad_v2_57293d9e1d046914007791ce,0,0,
squad_v2_57293d9e1d046914007791ce_s1,squad_v2_57293d9e1d046914007791ce,1,0,
squad_v2_57293d9e1d046914007791ce_s2,squad_v2_57293d9e1d046914007791ce,2,1,
squad_v2_57293d9e1d046914007791ce_s3,squad_v2_57293d9e1d046914007791ce,3,0,
squad_v2_57293d9e1d046914007791ce_s4,squad_v2_57293d9e1d046914007791ce,4,0,
squad_v2_57293d9e1d046914007791ce_s5,squad_v2_57293d9e1d046914007791ce,5,0,
squad_v2_572812962ca10214002d9d40_s0,squad_v2_572812962ca10214002d9d40,0,0,
squad_v2_572812962ca10214002d9d40_s1,squad_v2_572812962ca10214002d9d40,1,1,
squad_v2_572812962ca10214002d9d40_s2,squad_v2_572812962ca10214002d9d40,2,0,
squad_v2_572812962ca10214002d9d40_s3,squad_v2_572812962ca10214002d9d40,3,0,
squad_v2_572812962ca10214002d9d40_s4,squad_v2_572812962ca10214002d9d40,4,0,
squad_v2_5728d6633acd2414000dffe2_s0,squad_v2_5728d6633acd2414000dffe2,0,0,
squad_v2_5728d6633acd2414000dffe2_s1,squad_v2_5728d6633acd2414000dffe2,1,0,
squad_v2_5728d6633acd2414000dffe2_s2,squad_v2_5728d6633acd2414000dffe2,2,0,
squad_v2_5728d6633acd2414000dffe2_s3,squad_v2_5728d6633acd2414000dffe2,3,0,
squad_v2_5728d6633acd2414000dffe2_s4,squad_v2_5728d6633acd2414000dffe2,4,0,
squad_v2_5728d6633acd2414000dffe2_s5,squad_v2_5728d6633acd2414000dffe2,5,0,
squad_v2_5728d6633acd2414000dffe2_s6,squad_v2_5728d6633acd2414000dffe2,6,1,
squad_v2_5728d6633acd2414000dffe2_s7,squad_v2_5728d6633acd2414000dffe2,7,0,
squad_v2_5728d6633acd2414000dffe2_s8,squad_v2_5728d6633acd2414000dffe2,8,0,
squad_v2_5728d6633acd2414000dffe2_s9,squad_v2_5728d6633acd2414000dffe2,9,0,
squad_v2_5728d6633acd2414000dffe2_s10,squad_v2_5728d6633acd2414000dffe2,10,0,
squad_v2_5728d6633acd2414000dffe2_s11,squad_v2_5728d6633acd2414000dffe2,11,0,
squad_v2_5728d6633acd2414000dffe2_s12,squad_v2_5728d6633acd2414000dffe2,12,0,
squad_v2_5728d6633acd2414000dffe2_s13,squad_v2_5728d6633acd2414000dffe2,13,0,
squad_v2_5728d6633acd2414000dffe2_s14,squad_v2_5728d6633acd2414000dffe2,14,0,
squad_v2_5728d6633acd2414000dffe2_s15,squad_v2_5728d6633acd2414000dffe2,15,0,
squad_v2_5728d6633acd2414000dffe2_s16,squad_v2_5728d6633acd2414000dffe2,16,0,
squad_v2_5728d6633acd2414000dffe2_s17,squad_v2_5728d6633acd2414000dffe2,17,0,
squad_v2_5728d6633acd2414000dffe2_s18,squad_v2_5728d6633acd2414000dffe2,18,0,
squad_v2_5728d6633acd2414000dffe2_s19,squad_v2_5728d6633acd2414000dffe2,19,0,
squad_v2_57263dd1ec44d21400f3dc99_s0,squad_v2_57263dd1ec44d21400f3dc99,0,0,
squad_v2_57263dd1ec44d21400f3dc99_s1,squad_v2_57263dd1ec44d21400f3dc99,1,1,
squad_v2_5706117a75f01819005e7935_s0,squad_v2_5706117a75f01819005e7935,0,1,
squad_v2_5706117a75f01819005e7935_s1,squad_v2_5706117a75f01819005e7935,1,0,
squad_v2_572685f55951b619008f757e_s0,squad_v2_572685f55951b619008f757e,0,0,
squad_v2_572685f55951b619008f757e_s1,squad_v2_572685f55951b619008f757e,1,1,
squad_v2_572685f55951b619008f757e_s2,squad_v2_572685f55951b619008f757e,2,0,
squad_v2_572685f55951b619008f757e_s3,squad_v2_572685f55951b619008f757e,3,0,
squad_v2_572685f55951b619008f757e_s4,squad_v2_572685f55951b619008f757e,4,0,
squad_v2_5727ee154b864d1900164040_s0,squad_v2_5727ee154b864d1900164040,0,1,
squad_v2_5727ee154b864d1900164040_s1,squad_v2_5727ee154b864d1900164040,1,0,
squad_v2_5727ee154b864d1900164040_s2,squad_v2_5727ee154b864d1900164040,2,0,
squad_v2_572ebc97dfa6aa1500f8d333_s0,squad_v2_572ebc97dfa6aa1500f8d333,0,0,
squad_v2_572ebc97dfa6aa1500f8d333_s1,squad_v2_572ebc97dfa6aa1500f8d333,1,1,
squad_v2_572ebc97dfa6aa1500f8d333_s2,squad_v2_572ebc97dfa6aa1500f8d333,2,0,
squad_v2_572ebc97dfa6aa1500f8d333_s3,squad_v2_572ebc97dfa6aa1500f8d333,3,0,
squad_v2_572ebc97dfa6aa1500f8d333_s4,squad_v2_572ebc97dfa6aa1500f8d333,4,0,
squad_v2_57300a6a04bcaa1900d7705d_s0,squad_v2_57300a6a04bcaa1900d7705d,0,0,
squad_v2_57300a6a04bcaa1900d7705d_s1,squad_v2_57300a6a04bcaa1900d7705d,1,0,
squad_v2_57300a6a04bcaa1900d7705d_s2,squad_v2_57300a6a04bcaa1900d7705d,2,0,
squad_v2_57300a6a04bcaa1900d7705d_s3,squad_v2_57300a6a04bcaa1900d7705d,3,0,
squad_v2_57300a6a04bcaa1900d7705d_s4,squad_v2_57300a6a04bcaa1900d7705d,4,0,
squad_v2_57300a6a04bcaa1900d7705d_s5,squad_v2_57300a6a04bcaa1900d7705d,5,0,
squad_v2_57300a6a04bcaa1900d7705d_s6,squad_v2_57300a6a04bcaa1900d7705d,6,1,
squad_v2_56cf5e35aab44d1400b89149_s0,squad_v2_56cf5e35aab44d1400b89149,0,0,
squad_v2_56cf5e35aab44d1400b89149_s1,squad_v2_56cf5e35aab44d1400b89149,1,0,
squad_v2_56cf5e35aab44d1400b89149_s2,squad_v2_56cf5e35aab44d1400b89149,2,1,
squad_v2_56cf5e35aab44d1400b89149_s3,squad_v2_56cf5e35aab44d1400b89149,3,0,
squad_v2_572b6c9cf75d5e190021fdce_s0,squad_v2_572b6c9cf75d5e190021fdce,0,0,
squad_v2_572b6c9cf75d5e190021fdce_s1,squad_v2_572b6c9cf75d5e190021fdce,1,0,
squad_v2_572b6c9cf75d5e190021fdce_s2,squad_v2_572b6c9cf75d5e190021fdce,2,0,
squad_v2_572b6c9cf75d5e190021fdce_s3,squad_v2_572b6c9cf75d5e190021fdce,3,1,
squad_v2_572b6c9cf75d5e190021fdce_s4,squad_v2_572b6c9cf75d5e190021fdce,4,0,
